county_name, pop_total , pop_male , pop_female , hh_total , hh_conventional , hh_group_quarters , land_area_sqkm  , persons_per_sqkm  ,level
Laikipia West,"129,263","65,158","64,102","33,025","32,821",204,"3,372",38,Sub-county
Nyahururu,"154,704","76,249","78,447","44,617","44,073",544,813,190,Sub-county
Nakuru,"2,162,202","1,077,272","1,084,835","616,046","598,237","17,809","7,505",288,County
Gilgil,"185,209","92,955","92,247","58,920","49,405","9,515","1,075",172,Sub-county
Kuresoi North,"175,074","87,472","87,599","40,359","40,168",191,618,283,Sub-county
Kuresoi South,"155,324","78,204","77,117","34,627","34,543",84,591,263,Sub-county
Molo,"156,732","78,129","78,598","41,462","41,439",23,483,324,Sub-county
Naivasha,"355,383","179,222","176,132","117,633","111,493","6,140","1,958",181,Sub-county
Nakuru East,"193,926","92,956","100,960","61,398","60,066","1,332",231,840,Sub-county
Nakuru North,"218,050","106,155","111,880","61,728","61,582",146,387,563,Sub-county
Nakuru West,"198,661","101,797","96,854","64,481","64,429",52,72,"2,764",Sub-county
Njoro,"238,773","118,361","120,408","61,271","61,156",115,699,341,Sub-county
Rongai,"199,906","99,976","99,922","52,348","52,248",100,988,202,Sub-county
Subukia,"85,164","42,045","43,118","21,819","21,708",111,402,212,Sub-county
Narok,"1,157,873","579,042","578,805","241,125","238,115","3,010","17,932",65,County
Narok East,"115,323","58,699","56,617","25,078","24,860",218,"2,042",56,Sub-county
Narok North,"251,862","128,024","123,829","59,996","59,802",194,"2,159",117,Sub-county
Narok South,"238,472","118,441","120,029","46,723","46,549",174,"4,577",52,Sub-county
Narok West,"195,287","97,085","98,198","38,658","37,782",876,"5,563",35,Sub-county
Trans Mara East,"111,183","54,545","56,637","20,506","20,439",67,310,359,Sub-county
Trans Mara West,"245,714","122,220","123,491","50,132","48,683","1,449","2,546",97,Sub-county
Mau Forest,32,28,4,32, -   ,32,734,0,Sub-county
Kajiado,"1,117,840","557,098","560,704","316,179","313,218","2,961","21,871",51,County
Isinya,"210,473","105,607","104,860","71,579","71,395",184,"1,072",196,Sub-county
Kajiado Central,"161,862","81,514","80,343","37,238","37,059",179,"4,239",38,Sub-county
Kajiado North,"306,596","150,675","155,908","101,378","100,908",470,111,"2,773",Sub-county
Kajiado West,"182,849","91,607","91,237","42,774","42,367",407,"7,862",23,Sub-county
Loitokitok,"191,846","94,613","97,225","47,058","45,581","1,477","6,337",30,Sub-county
Mashuuru,"64,214","33,082","31,131","16,152","15,908",244,"2,251",29,Sub-county
Kericho,"901,777","450,741","451,008","206,036","205,932",104,"2,436",370,County
Belgut,"145,072","72,508","72,564","35,012","34,978",34,264,549,Sub-county
Bureti,"199,470","98,823","100,642","43,117","43,098",19,321,622,Sub-county
Kericho East,"170,625","86,671","83,947","44,246","44,246", - ,241,709,Sub-county
Kipkelion,"122,530","61,066","61,460","24,688","24,676",12,350,350,Sub-county
Londiani,"137,580","68,570","69,000","31,778","31,739",39,400,344,Sub-county
Soin Sigowet,"126,500","63,103","63,395","27,195","27,195", - ,466,271,Sub-county
Mau Forest, - , - , - , - , - , - ,201, - ,Sub-county
Tinderet Forest, - , - , - , - , - , - ,194, - ,Sub-county
Bomet,"875,689","434,287","441,379","187,641","187,230",411,"2,507",349,County
Bomet East,"144,275","71,095","73,172","29,958","29,897",61,305,473,Sub-county
Chepalungu,"164,837","79,921","84,912","33,931","33,850",81,461,358,Sub-county
Konoin,"163,507","83,120","80,384","38,178","38,123",55,393,417,Sub-county
Sotik,"227,855","112,369","115,482","47,315","47,265",50,544,419,Sub-county
Bomet Central,"175,215","87,782","87,429","38,259","38,095",164,286,613,Sub-county
Mau Forest, - , - , - , - , - , - ,519, - ,Sub-county
Kakamega,"1,867,579","897,133","970,406","433,207","432,284",923,"3,017",619,County
Butere,"154,100","73,634","80,463","36,243","36,243", - ,210,734,Sub-county
Kakamega Central,"188,212","92,774","95,432","52,015","51,956",59,155,"1,212",Sub-county
Kakamega East,"167,641","80,853","86,784","39,589","39,589", - ,417,402,Sub-county
Kakamega North,"238,330","115,511","122,814","51,083","50,952",131,421,566,Sub-county
Kakamega South,"111,743","53,219","58,524","26,964","26,940",24,146,764,Sub-county
Khwisero,"113,476","53,670","59,803","27,681","27,681", - ,146,779,Sub-county
Likuyani,"152,055","73,710","78,341","35,322","34,776",546,316,481,Sub-county
Lugari,"122,728","59,135","63,593","27,862","27,817",45,254,483,Sub-county
Matete,"66,172","31,749","34,423","13,956","13,956", - ,103,644,Sub-county
Matungu,"166,940","78,793","88,143","36,457","36,414",43,276,606,Sub-county
Mumias East,"116,851","55,895","60,953","26,049","25,995",54,150,778,Sub-county
Mumias West,"115,354","54,915","60,438","27,671","27,650",21,163,706,Sub-county
Navakholo,"153,977","73,275","80,695","32,315","32,315", - ,259,594,Sub-county
Vihiga,"590,013","283,678","306,323","143,365","143,288",77,564,"1,047",County
Emuhaya,"97,141","46,507","50,633","23,804","23,803",1,89,"1,091",Sub-county
Vihiga,"95,292","45,788","49,501","23,375","23,359",16,90,"1,058",Sub-county
Sabatia,"131,628","62,944","68,683","31,422","31,391",31,111,"1,181",Sub-county
Luanda,"106,694","51,525","55,165","26,766","26,766", - ,84,"1,265",Sub-county
Hamisi,"159,241","76,901","82,337","37,986","37,965",21,157,"1,013",Sub-county
Kakamega Forest,17,13,4,12,4,8,32,1,Sub-county
Bungoma,"1,670,570","812,146","858,389","358,796","357,714","1,082","3,024",552,County
Bumula,"215,892","103,368","112,523","44,954","44,922",32,345,625,Sub-county
Bungoma Central,"177,748","86,302","91,438","37,803","37,535",268,233,764,Sub-county
Bungoma East,"114,548","55,775","58,771","24,873","24,798",75,163,702,Sub-county
Bungoma North,"121,317","58,790","62,526","24,998","24,940",58,192,633,Sub-county
Bungoma South,"287,765","139,705","148,055","69,151","69,088",63,321,896,Sub-county
Cheptais,"136,035","67,717","68,312","26,326","26,007",319,223,610,Sub-county
Kimilili,"162,038","78,560","83,475","35,263","35,053",210,180,902,Sub-county
Mt Elgon,"78,873","38,977","39,893","15,276","15,230",46,126,624,Sub-county
Bungoma West,"119,875","58,225","61,649","25,172","25,166",6,211,568,Sub-county
Tongaren,"100,343","48,685","51,657","21,343","21,343", - ,185,542,Sub-county
Webuye West,"152,515","74,180","78,331","32,839","32,834",5,239,638,Sub-county
Mt Elgon Forest,"3,621","1,862","1,759",798,798, - ,606,6,Sub-county
Busia,"893,681","426,252","467,401","198,152","197,944",208,"1,700",526,County
